match_id,division,match_date,section,team,player,goals,goal_minutes,source_url,note
2025_D1_m40,1部,2025-09-15,第10節,INAC白岡SCレディース,小倉那月,1,1分,https://u15.kantolsl.com/2025/div1/m40,
2025_D1_m40,1部,2025-09-15,第10節,INAC白岡SCレディース,沓掛加奈,1,80+2分,https://u15.kantolsl.com/2025/div1/m40,
2025_D1_m42,1部,2025-09-20,第11節,三菱重工浦和レッズレディースジュニアユース,オウンゴール,1,4分,https://u15.kantolsl.com/2025/div1/m42,
2025_D1_m42,1部,2025-09-20,第11節,三菱重工浦和レッズレディースジュニアユース,浅野伶央,1,15分,https://u15.kantolsl.com/2025/div1/m42,
2025_D1_m42,1部,2025-09-20,第11節,三菱重工浦和レッズレディースジュニアユース,諏訪楓,1,26分,https://u15.kantolsl.com/2025/div1/m42,
2025_D1_m42,1部,2025-09-20,第11節,三菱重工浦和レッズレディースジュニアユース,徳生花音,1,33分,https://u15.kantolsl.com/2025/div1/m42,
2025_D1_m42,1部,2025-09-20,第11節,小美玉フットボールアカデミー,山本渚子,1,45分,https://u15.kantolsl.com/2025/div1/m42,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m43,1部,2025-09-23,第11節,ちふれASエルフェン埼玉マリU-15,西脇姫花,1,9分,https://u15.kantolsl.com/2025/div1/m43,
2025_D1_m43,1部,2025-09-23,第11節,ちふれASエルフェン埼玉マリU-15,原島蒼依,1,23分,https://u15.kantolsl.com/2025/div1/m43,
2025_D1_m43,1部,2025-09-23,第11節,VONDS市原FCレディ－スU-15,田中葉色,2,56分|74分,https://u15.kantolsl.com/2025/div1/m43,
2025_D1_m43,1部,2025-09-23,第11節,VONDS市原FCレディ－スU-15,保坂美海,1,65分,https://u15.kantolsl.com/2025/div1/m43,
2025_D1_m44,1部,2025-09-23,第11節,INAC白岡SCレディース,村部彩華,1,10分,https://u15.kantolsl.com/2025/div1/m44,
