year,division,match_id,url_key,source_url,match_date,kickoff,section,home_team,away_team,home_score,away_score,venue,status,fetched_at,source_type,discovered_from,note
2025,2部,2025_D2_m02,m02,https://u15.kantolsl.com/2025/div2/m02,2025-04-06,15:15,第1節,十文字中学校,湘南ベルマーレU-15ガールズ,0,4,十文字学園女子大学 サッカーグラウンド,played,2026-05-18T09:17:41+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m03,m03,https://u15.kantolsl.com/2025/div2/m03,2025-04-06,18:00,第1節,栃木SCレディース,TRAUM SVレディースU-15,11,0,真岡ハイトラ運動公園 運動広場,played,2026-05-18T09:17:42+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m04,m04,https://u15.kantolsl.com/2025/div2/m04,2025-04-06,14:15,第1節,ザスパ群馬レディースU-15,スフィーダ世田谷FCユース,1,6,GCCザスパーク,played,2026-05-18T09:17:42+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m05,m05,https://u15.kantolsl.com/2025/div2/m05,2025-04-13,17:15,第2節,人工芝 湘南ベルマーレU-15ガールズ,INAC千葉CRAVO FC,1,0,馬入ふれあい公園サッカー場,played,2026-05-18T09:17:43+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m06,m06,https://u15.kantolsl.com/2025/div2/m06,2025-04-12,17:00,第2節,東 RB大宮アルディージャWOMEN U15,十文字中学校,1,3,SFAフットボールセンタ,played,2026-05-18T09:17:43+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m07,m07,https://u15.kantolsl.com/2025/div2/m07,2025-04-13,13:30,第2節,ザスパ群馬レディースU-15,栃木SCレディース,0,4,GCCザスパーク,played,2026-05-18T09:17:44+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m08,m08,https://u15.kantolsl.com/2025/div2/m08,2025-04-12,18:00,第2節,TRAUM SVレディースU-15,スフィーダ世田谷FCユース,0,19,真岡ハイトラ運動公園 運動広場,played,2026-05-18T09:17:44+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m09,m09,https://u15.kantolsl.com/2025/div2/m09,2025-04-20,14:00,第3節,INAC千葉CRAVO FC,TRAUM SVレディースU-15,17,1,あけぼの山農業公園 芝生広場,played,2026-05-18T09:17:45+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m10,m10,https://u15.kantolsl.com/2025/div2/m10,2025-04-20,14:00,第3節,十文字中学校,ザスパ群馬レディースU-15,3,0,十文字学園女子大学 サッカーグラウンド,played,2026-05-18T09:17:45+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m11,m11,https://u15.kantolsl.com/2025/div2/m11,2025-04-19,13:00,第3節,栃木SCレディース,RB大宮アルディージャWOMEN U15,1,3,とちぎフットボールセンタ,played,2026-05-18T09:17:46+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
